local,tipo,denominacion,latitud,longitud,elevacion,referencia,condicion,trafico,provincia
HSG,Helipuerto,BUENOS AIRES/SANATORIO GÜEMES,-58.421945,-34.59703,82,Facundo Acuña de Figueroa y Av. Córdoba,PRIVADO,Nacional,CIUDAD AUTÓNOMA DE BUENOS AIRES
HSH,Helipuerto,SAN ANDRÉS DE GILES/HOSPITAL MUNICIPAL,-59.449417,-34.448879,47,Rawson entre Soulé y Cámpora,PUBLICO,Nacional,BUENOS AIRES
HSJ,Aeródromo,CURUZÚ CUATIÁ/EA. SAN JUAN,-58.02205,-29.60179,82,Curuzú Cuatiá,PRIVADO,Nacional,CORRIENTES
HSM,Helipuerto,TIGRE/ISLA SANTA MÓNICA,-58.507365,-34.414724,3,,PRIVADO,Nacional,BUENOS AIRES
HSN,Helipuerto,SAN NICOLÁS DE LOS ARROYOS/MIGUEL COLOMBISE,-60.249353,-33.358932,27,Estación FFCC local,PUBLICO,Nacional,BUENOS AIRES
HSR,Helipuerto,SANTA CRUZ/EA. SAN RAMÓN,-69.917664,-50.303036,374,Puerto Santa Cruz,PRIVADO,Nacional,SANTA CRUZ
HSW,Helipuerto,HELIPLATAFORMA SWIBER PJW3000,-67.96400424,-53.07649481,36,Campo Vega Pleyade (531929S-0674311W 530346S-0674649W 525444S-0680635W 525554S-0681826W),PRIVADO,Nacional,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR
HTA,Helipuerto,CONCEPCIÓN DEL URUGUAY/HELIPUERTO TALITAS,-58.240705,-32.548188,8,Concepción del Uruguay,PRIVADO,Nacional,ENTRE RÍOS
HTD,Helipuerto,TANDIL/EA. LA PASCUALA,-58.966403,-37.393711,220,Tandil,PRIVADO,Nacional,BUENOS AIRES
HTE,Helipuerto,SALTA/TEMET,-65.372347,-24.836242,1180,Salta,PRIVADO,Nacional,SALTA
HTL,Helipuerto,TRENQUE LAUQUEN/EA. LA CHACOTA,-62.641667,-35.913333,90,Trenque Lauquen,PRIVADO,Nacional,BUENOS AIRES
HTS,Helipuerto,EL TURBIO/EA. SANTA ANA,-71.967747,-51.685796,665,El Turbio,PRIVADO,Nacional,SANTA CRUZ
HUE,Aeródromo,CARHUÉ,-62.78138889,-37.19388889,110,Carhué,PRIVADO,Nacional,BUENOS AIRES
HUG,Aeródromo,HUANGUELÉN,-61.95324,-37.05267,158,Huanguelén,PRIVADO,Nacional,BUENOS AIRES
HUI,Aeródromo,HUINCA RENANCÓ,-64.37412,-34.82041,180,Huinca Renancó,PUBLICO,Nacional,CÓRDOBA
HUM,Aeródromo,HUMBOLDT/ESTABLECIMIENTO LA ADELITA,-61.14256,-31.38986,50,Humboldt,PRIVADO,Nacional,SANTA FÉ
HUP,Helipuerto,GENERAL ALVEAR/UNIDAD PENITENCIARIA N° 30,-60.016667,-36.044444,55,General Alvear,PRIVADO,Nacional,BUENOS AIRES
HUU,Helipuerto,HELIPUERTO SATURNINO UNZUÉ,-60.159541,-35.423236,50,Estación FFCC,PRIVADO,Nacional,BUENOS AIRES
HVA,Helipuerto,TIGRE/VILLA LA ÑATA,-58.655755,-34.375231,3,Estación FFCC Tigre,PRIVADO,Nacional,BUENOS AIRES
HVM,Helipuerto,VILLA MARTELLI/CITEFA,-58.505501,-34.557728,17,Zufriategui,,,
HWG,Helipuerto,BUQUE W. G. VESPUCCI,-66.81666667,-52.9,28,25 de Mayo 555 Piso 19-20 CABA,PRIVADO,Nacional,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR
HYC,Helipuerto,YACANTO DE CALAMUCHITA/ROCA VAL,-64.780353,-32.05978,1050,Villa Yacanto,PRIVADO,Nacional,CÓRDOBA
HZA,Aeródromo,MAIPÚ/ESTABLECIMIENTO EL ARAZA,-57.64277778,-36.77583333,93,Estación Santo Domingo,PRIVADO,Nacional,BUENOS AIRES
IAA,Aeródromo,INTENDENTE ALVEAR/AZCARATE IRATORSA,-63.61052,-35.18862,127,Intendente Alvear,PRIVADO,Nacional,LA PAMPA
IAC,Aeródromo,LA QUIACA/DR. GUILLERMO EUGENIO SNOPEK,-65.57207,-22.16195,3480,La Quiaca,PUBLICO,Nacional,JUJUY
IAL,Aeródromo,INTENDENTE ALVEAR,-63.56571,-35.23368,127,Intendente Alvear,PUBLICO,Nacional,LA PAMPA
IBA,Aeródromo,INES INDART/BELINGUERES AVIACIÓN,-60.50444444,-34.27777778,63.7,Salto,PRIVADO,Nacional,BUENOS AIRES
IBY,Aeródromo,ISLAS DEL IBICUY,-58.68099,-33.7439,6,Islas de Ibicuy,PRIVADO,Nacional,ENTRE RÍOS
ICO,Aeródromo,COMODORO RIVADAVIA/13 DE DICIEMBRE,-67.55888889,-45.90416667,52,Comodoro Rivadavia,PUBLICO,Nacional,CHUBUT
IGL,Aeródromo,INGENIERO LUIGGI,-64.47527,-35.35546,193,Ingeniero Luiggi,PUBLICO,Nacional,LA PAMPA
IGU,Aeródromo,CATARATAS DEL  IGUAZÚ/MY. D. CARLOS EDUARDO KRAUSE,-54.47354,-25.73722,279,Cataratas del Iguazú,PUBLICO,Internacional,MISIONES
IJC,Aeródromo,INGENIERO JACOBACCI/CABO F.A.A. H. R. BORDÓN,-69.57611111,-41.32111111,892,Ingeniero Jacobacci,PUBLICO,Nacional,RÍO NEGRO
ILD,Aeródromo,CASILDA,-61.20973,-33.06242,77,Casilda,PUBLICO,Nacional,SANTA FÉ
ILM,Aeródromo,QUILMES,-58.24461,-34.70643,2,Quilmes,PRIVADO,Nacional,BUENOS AIRES
IRA,Aeródromo,MIRAMAR,-57.87083333,-38.22611111,13,Miramar,PUBLICO,Nacional,BUENOS AIRES
IRI,Aeródromo,BERNARDO DE IRIGOYEN,-53.67257,-26.28171,815,Bernardo de Irigoyen,PUBLICO,Nacional,MISIONES
ITO,Aeródromo,CHILECITO/BRIG. MY. JUAN FACUNDO QUIROGA,-67.43944444,-29.22333333,945,Chilecito,PUBLICO,Nacional,LA RIOJA
IVB,Aeródromo,ISLA VERDE/D. HÉCTOR BIONDI,-62.41538,-33.24674,118,Isla Verde,PUBLICO,Nacional,CÓRDOBA
IVL,Aeródromo,ISLA VERDE/BIONDI,-62.40464,-33.2232,119,Isla Verde,PRIVADO,Nacional,CÓRDOBA
JAH,Aeródromo,JUNÍN DE LOS ANDES/HOSTERIA SAN HUBERTO,-71.17,-39.70388889,691,Junín de los Andes,PRIVADO,Nacional,NEUQUÉN
JAR,Aeródromo,JACINTO ARAUZ,-63.42902,-38.066,160,Jacinto Arauz,PRIVADO,Nacional,LA PAMPA
JBA,Aeródromo,JUAN BAUTISTA ALBERDI,-61.90455,-34.48351,102,Juan Bautista Alberdi,PRIVADO,Nacional,BUENOS AIRES
JCM,Aeródromo,JUÁREZ CELMAN/BRIG. MY. JUAN IGNACIO SAN MARTÍN,-64.16064,-31.21113,495,Juárez Celman,PUBLICO,Nacional,CÓRDOBA
JDA,Aeródromo,JARDÍN DE AMÉRICA,-55.19805556,-27.0325,205,Jardín América,PRIVADO,Nacional,MISIONES
JES,Aeródromo,JESÚS MARÍA,-64.07797,-30.9883,530,Jesús Maria,PUBLICO,Nacional,CÓRDOBA
JGA,Aeródromo,JOAQUIN V. GONZALEZ/AGROPECUARIA RÍO JURAMENTO,-64.08135,-25.1866,1184,Salta,PRIVADO,Nacional,SALTA
JLA,Aeródromo,JUNÍN DE LOS ANDES/SAN IGNACIO,-70.86537,-39.84555,691,Junín de los Andes,PRIVADO,Nacional,NEUQUÉN
JMB,Aeródromo,TRES LOMAS,-62.87927,-36.44296,116,Tres Lomas,PRIVADO,Nacional,BUENOS AIRES
JOC,Aeródromo,JOVITA/ANTARES,-63.96055556,-34.53194444,154,Jovita,PRIVADO,Nacional,CÓRDOBA
JOR,Aeródromo,SAN JORGE,-61.84333333,-31.88277778,106,San Jorge,PUBLICO,Nacional,SANTA FÉ
JRZ,Aeródromo,JUÁREZ,-59.79194444,-37.70611111,212,Benito Juárez,PUBLICO,Nacional,BUENOS AIRES
JSM,Aeródromo,JOSÉ DE SAN MARTÍN,-70.44638889,-44.04722222,734,José de San Martín,PUBLICO,Nacional,CHUBUT
JUA,Aeródromo,SAN JUAN/DOMINGO FAUSTINO SARMIENTO,-68.41833333,-31.57138889,597,San Juan,PUBLICO,Nacional,SAN JUAN
JUJ,Aeródromo,JUJUY/GOBERNADOR GUZMÁN,-65.09777778,-24.3925,920,San Salvador de Jujuy,PUBLICO,Internacional,JUJUY
LAE,Aeródromo,PUNTA ROJA/EA. LA ELBA,-65.37055556,-44.57277778,14,Camarones,PRIVADO,Nacional,CHUBUT
LAM,Aeródromo,GENERAL LAMADRID,-61.27888889,-37.22611111,171,General La Madrid,PUBLICO,Nacional,BUENOS AIRES
LAN,Aeródromo,LANTERI,-59.67277778,-28.8575,56,Lanteri,PRIVADO,Nacional,SANTA FÉ
LAR,Aeródromo,LA RIOJA/CAP. VICENTE A. ALMONACID,-66.79583333,-29.38055556,438,La Rioja,PUBLICO,Nacional,LA RIOJA
LAU,Aeródromo,TRENQUE LAUQUEN,-62.69388889,-36.01583333,99,Trenque Lauquen,PUBLICO,Nacional,BUENOS AIRES
LAZ,Aeródromo,LA PAZ/AEROCLUB,-59.56887,-30.74368,61,La Paz,PRIVADO,Nacional,ENTRE RÍOS
LBI,Aeródromo,LOBERIA,-58.7872,-38.18951,81,Lobería,PRIVADO,Nacional,BUENOS AIRES
LCC,Aeródromo,LA CARLOTA/CASAJUS,-63.30551,-33.38823,143,La Carlota,PRIVADO,Nacional,CÓRDOBA
LCP,Aeródromo,LONCOPUÉ,-70.64406,-38.08177,1106,Loncopué,PUBLICO,Nacional,NEUQUÉN
LCT,Aeródromo,LA CARLOTA,-63.31375,-33.45761,154,La Carlota,PRIVADO,Nacional,CÓRDOBA
LDA,Aeródromo,LEZAMA/DON ALBERTO,-57.87667,-35.86972,8,Manuel J. Cobo,PRIVADO,Nacional,BUENOS AIRES
LDG,Aeródromo,LAGUNA DE GÓMEZ,-61.0091,-34.65469,80,Junín,PUBLICO,Nacional,BUENOS AIRES
LDR,Aeródromo,VILLA DOLORES,-65.1475,-31.9475,563,Cordoba,PUBLICO,Nacional,CÓRDOBA
LEN,Aeródromo,BELÉN DE ESCOBAR,-58.79888889,-34.29861111,4,Belén de Escobar,PRIVADO,Nacional,BUENOS AIRES
LEO,Aeródromo,LEONES,-62.31681,-32.64264,114,Leones,PRIVADO,Nacional,CÓRDOBA
LGM,Aeródromo,SARMIENTO/LAGO MUSTERS,-69.07713,-45.57506,27,Sarmiento,PRIVADO,Nacional,CHUBUT
LHP,Aeródromo,LAS HERAS/LOS PERALES,-69.28694444,-46.19194444,426,Las Heras,PRIVADO,Nacional,SANTA CRUZ
LIB,Aeródromo,PASO DE LOS LIBRES,-57.15222222,-29.68805556,70,Paso de los Libres,PUBLICO,Internacional,CORRIENTES
LIN,Aeródromo,LINCOLN,-61.53138889,-34.89083333,85,Lincoln,PUBLICO,Nacional,BUENOS AIRES
LIO,Aeródromo,NUEVE DE JULIO,-60.93333333,-35.39944444,75,9 de Julio,PUBLICO,Nacional,BUENOS AIRES
LJN,Aeródromo,LUJÁN,-59.07916667,-34.55055556,25,Luján,PRIVADO,Nacional,BUENOS AIRES
LLA,Aeródromo,LAS LAJITAS/AEROSOLUCIONES,-64.235,-24.74888889,492,Las Lajitas,PRIVADO,Nacional,SALTA
LLC,Aeródromo,LONGCHAMPS/LA CAÍDA,-58.34472222,-34.8625,28,Longchamps,PRIVADO,Nacional,BUENOS AIRES
LLE,Aeródromo,LIBERTAD/LA ESMERALDA,-57.83833,-29.9951,81,Libertad,PRIVADO,Nacional,CORRIENTES
LLJ,Aeródromo,LAS LAJAS,-70.3367,-38.53828,850,Las Lajas,PUBLICO,Nacional,NEUQUÉN
LMD,Aeródromo,JUAN N. FERNÁNDEZ/LA MADRUGADA,-59.34998,-38.00845,137,Juan N. Fernández,PRIVADO,Nacional,BUENOS AIRES
LMF,Aeródromo,LOS MOLINOS/ESTABLECIMIENTO LA FLORENCIA,-61.31628,-33.07912,75,Los Molinos,PRIVADO,Nacional,SANTA FÉ
LNH,Aeródromo,LAGO NAHUEL HUAPI,-71.17678,-41.09725,780,San Carlos de Bariloche,PUBLICO,Nacional,RÍO NEGRO
LNV,Aeródromo,LINCOLN/LA NUEVA,-61.30217,-34.94464,75,Lincoln,PRIVADO,Nacional,BUENOS AIRES
LPB,Aeródromo,COMANDANTE LUIS PIEDRABUENA,-68.94984,-49.99499,24,Comandante Luis Piedrabuena,PRIVADO,Nacional,SANTA CRUZ
LPP,Aeródromo,LAS PALMAS/PETRUK,-58.66944444,-27.08777778,54,Las Palmas,PRIVADO,Nacional,CHACO
LPR,Aeródromo,LAPRIDA,-60.77833333,-37.52083333,210,Laprida,PUBLICO,Nacional,BUENOS AIRES
LRE,Aeródromo,LA RAMADA DE ABAJO/DON EMILIO,-64.88463,-26.73288,530,La Ramada,PRIVADO,Nacional,TUCUMÁN
LRS,Aeródromo,LAS ROSAS,-61.58166667,-32.49305556,102,Las Rosas,PUBLICO,Nacional,SANTA FÉ
LRT,Aeródromo,LAS ROSAS/HORIZONTE APLICACIONES AÉREAS,-61.55083333,-32.52027778,98,Las Rosas,PRIVADO,Nacional,SANTA FÉ
LVA,Aeródromo,LAS VARAS/MACIAS,-62.63027778,-31.81722222,126,Las Varas,PRIVADO,Nacional,CÓRDOBA
LVL,Aeródromo,LAS VARILLAS,-62.70472222,-31.89166667,135,Las Varillas,PRIVADO,Nacional,CÓRDOBA
LVM,Aeródromo,LUJÁN/EA. VILLA MARÍA,-59.12727,-34.6436,32,Luján,PRIVADO,Nacional,BUENOS AIRES
LVR,Aeródromo,LAS VARILLAS/GINEVRO,-62.84449,-31.85801,145,Las Varillas,PRIVADO,Nacional,CÓRDOBA
LYE,Aeródromo,LABOULAYE,-63.36237,-34.13544,137,Laboulaye,PUBLICO,Nacional,CÓRDOBA
LZA,Aeródromo,LAGO LA ESPERANZA,-71.80522,-42.21713,560,Lago Puelo,PRIVADO,Nacional,CHUBUT
MAB,Aeródromo,MAGGIOLO/SAMAVE,-62.12792,-33.78639,109,Maggiolo,PRIVADO,Nacional,SANTA FÉ
MAC,Aeródromo,MACACHIN,-63.67893,-37.14581,140,Macachín,PRIVADO,Nacional,LA PAMPA
MAD,Aeródromo,GENERAL MADARIAGA,-57.13638889,-37.03861111,7,General Juan Madariaga,PUBLICO,Nacional,BUENOS AIRES
MAI,Aeródromo,MONTE MAIZ,-62.63111111,-33.21111111,113,Monte Maiz,PUBLICO,Nacional,CÓRDOBA
MAO,Aeródromo,VEINTICINCO DE MAYO,-67.65938,-37.80974,347,25 de Mayo,PRIVADO,Nacional,LA PAMPA
MAQ,Aeródromo,MAQUINCHAO,-68.70828,-41.24288,880,Maquinchao,PUBLICO,Nacional,RÍO NEGRO
MAT,Aeródromo,MATANZA,-58.50055556,-34.72833333,3,La Matanza,PUBLICO,Nacional,BUENOS AIRES
MAY,Aeródromo,VEINTICINCO DE MAYO,-60.08861111,-35.44638889,89,25 de Mayo,PRIVADO,Nacional,BUENOS AIRES
MBF,Aeródromo,MONTE BUEY/PEDRO FERRARI,-62.43474,-32.93173,108,Monte Buey,PUBLICO,Nacional,CÓRDOBA
MBI,Aeródromo,VICECOMODORO MARAMBIO,-56.63085,-64.23913,209.5,Isla Marambio. Mar de Weddell.,PUBLICO,Nacional,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR
MBL,Aeródromo,MIRAMAR/BELLAMAR,-58.13353,-38.38559,13,Miramar,PRIVADO,Nacional,BUENOS AIRES
MCL,Aeródromo,MINA CLAVERO,-64.98777778,-31.73027778,970,Mina Clavero,PUBLICO,Nacional,CÓRDOBA
MCO,Aeródromo,LOS MENUCOS,-68.07203,-40.81596,784,Los Menucos,PUBLICO,Nacional,RÍO NEGRO
MCP,Aeródromo,MONTE CASEROS/EL PILINCHO,-57.96833333,-30.38722222,71,Monte Caseros,PRIVADO,Nacional,CORRIENTES
MCS,Aeródromo,MONTE CASEROS,-57.63944444,-30.27027778,52,Monte Caseros,PUBLICO,Nacional,CORRIENTES
MCT,Aeródromo,MONTE CASEROS/TIMBOY,-57.84572,-30.23519,65,Monte Caseros,PRIVADO,Nacional,CORRIENTES
MDB,Aeródromo,MAR DEL PLATA/BATAN,-57.6775,-38.01166667,62,Batán,PUBLICO,Nacional,BUENOS AIRES
MDP,Aeródromo,MAR DEL PLATA/ASTOR PIAZZOLLA,-57.57333333,-37.93416667,22,Mar del Plata,PUBLICO,Internacional,BUENOS AIRES
MER,Aeródromo,MERLO,-58.74388889,-34.67638889,15,Merlo,PRIVADO,Nacional,BUENOS AIRES
MEZ,Aeródromo,CÓRDOBA/LA MEZQUITA,-64.3003,-31.40103,510,La Mezquita,PRIVADO,Nacional,CÓRDOBA
MGI,Aeródromo,ISLA MARTÍN GARCIA,-58.24694444,-34.18222222,2,Isla Martín Garcia,PUBLICO,Nacional,BUENOS AIRES
MIN,Aeródromo,VILLA MINETTI,-61.60359,-28.61901,75,Villa Minetti,PRIVADO,Nacional,SANTA FÉ
MJZ,Aeródromo,MARCOS JUAREZ,-62.15772,-32.684,110,Marcos Juarez,PUBLICO,Nacional,CÓRDOBA
MLA,Aeródromo,MALABRIGO,-59.97805556,-29.36722222,54,Malabrigo,PRIVADO,Nacional,SANTA FÉ
MLD,Aeródromo,CORONEL MOLDES,-64.61701,-33.61743,357,Coronel Moldes,PUBLICO,Nacional,CÓRDOBA
MLG,Aeródromo,MALARGÜE/COMODORO D. RICARDO SALOMÓN,-69.57305556,-35.49527778,1424,Malargüe,PUBLICO,Nacional,MENDOZA
MOI,Aeródromo,CORRALITO/DON MOISÉS,-64.19111111,-32.03555556,489,Corralito,PRIVADO,Nacional,CÓRDOBA
MON,Aeródromo,MONJE/FUMIGACIONES GONZALEZ,-60.97972222,-32.35888889,30,Monje,PRIVADO,Nacional,SANTA FÉ
MOR,Aeródromo,MORÓN,-58.64361111,-34.67916667,29,Morón,PUBLICO,Nacional,BUENOS AIRES
MPH,Aeródromo,MAR DEL PLATA/PARQUE HERMOSO,-57.63972222,-38.02833333,35,Parque Hermoso,PRIVADO,Nacional,BUENOS AIRES
MPP,Aeródromo,MAR DEL PLATA/CLUB DE PLANEADORES,-57.65361111,-38.01527778,45,Mar del Plata,PUBLICO,Nacional,BUENOS AIRES
MPU,Aeródromo,MAIPÚ,-57.85166667,-36.88888889,16,Maipú,PUBLICO,Nacional,BUENOS AIRES
MRD,Aeródromo,MERCEDES,-59.45527778,-34.63888889,42,Mercedes,PUBLICO,Nacional,BUENOS AIRES
MSA,Aeródromo,VEINTICINCO DE MAYO/SERVICIOS AGROAÉREOS,-60.16088,-35.44932,50,25 de Mayo,PRIVADO,Nacional,BUENOS AIRES
MSP,Aeródromo,MARCOS PAZ,-58.89693,-34.79759,28,Marcos Paz,PRIVADO,Nacional,BUENOS AIRES
MSR,Aeródromo,MERCEDES/EA. SANTA ROMANA,-65.24549,-33.74683,472,Villa Reynolds,PRIVADO,Nacional,SAN LUIS
MTL,Aeródromo,MONTECARLO,-54.72388889,-26.54416667,240,Montecarlo,PRIVADO,Nacional,MISIONES
MTN,Aeródromo,METAN,-64.96555556,-25.51416667,843,Metán,PRIVADO,Nacional,SALTA
MTR,Aeródromo,MORTEROS,-62.0259,-30.67594,94,Morteros,PUBLICO,Nacional,CÓRDOBA
MUQ,Aeródromo,QUEMÚ QUEMÚ,-63.63138889,-36.0575,0,Quemú Quemú,PUBLICO,Nacional,LA PAMPA
MUS,Aeródromo,CHASCOMÚS,-58.05194444,-35.54222222,10,Chascomús,PUBLICO,Nacional,BUENOS AIRES
NAN,Aeródromo,HERNANDO/AEROCLUB,-63.68583333,-32.34027778,282,Hernando,PRIVADO,Nacional,CÓRDOBA
NDL,Aeródromo,TANDIL/AEROCLUB,-59.09361111,-37.26305556,165,Tandil,PUBLICO,Nacional,BUENOS AIRES
NDR,Aeródromo,NORBERTO DE LA RIESTRA,-59.7910805,-35.327583,38.5,Norberto de la Riestra,PRIVADO,Nacional,BUENOS AIRES
NEC,Aeródromo,NECOCHEA,-58.81626,-38.48954,22,Necochea,PUBLICO,Nacional,BUENOS AIRES
NEI,Aeródromo,NECOCHEA/IRIBERRI,-58.80453,-38.47884,33,Necochea,PRIVADO,Nacional,BUENOS AIRES
NEU,Aeródromo,NEUQUÉN/PRESIDENTE PERÓN,-68.15583333,-38.94888889,273,Neuquén,PUBLICO,Internacional,NEUQUÉN
NIK,Aeródromo,LOBERIA/NIKA,-58.76087,-38.15666,80,Lobería,PRIVADO,Nacional,BUENOS AIRES
NIN,Aeródromo,JUNÍN,-60.93051,-34.54589,80,Junín,PUBLICO,Nacional,BUENOS AIRES
NJB,Aeródromo,NOGOYÁ/JUAN CARLOS BAGUR,-59.81583333,-32.41861111,58,Nogoyá,PRIVADO,Nacional,ENTRE RÍOS
NOG,Aeródromo,NOGOYÁ,-59.75055556,-32.39944444,43,Nogoyá,PRIVADO,Nacional,ENTRE RÍOS
NOT,Aeródromo,NOGOYÁ/TOGNOLI,-59.86611,-32.44736,60,Nogoyá,PRIVADO,Nacional,ENTRE RÍOS
NPA,Aeródromo,NECOCHEA/PULVERIZACIONES AEROSUR,-58.795,-38.57527778,15,Necochea,PRIVADO,Nacional,BUENOS AIRES
NST,Aeródromo,NUESTRA SEÑORA DE TALAVERA/FINCA TOLOCHE,-63.85805556,-25.4375,317,Nuestra Señora de Talavera,PRIVADO,Nacional,SALTA
NVR,Aeródromo,NAVARRO,-59.28583333,-35.02361111,30,Navarro,PUBLICO,Nacional,BUENOS AIRES
OBE,Aeródromo,OBERÁ,-55.12421,-27.5181,343,Oberá,PRIVADO,Nacional,MISIONES
OCA,Aeródromo,MONTES DE OCA,-61.84167,-32.58417,19,Montes de Oca,PRIVADO,Nacional,SANTA FÉ
OEL,Aeródromo,CHOELE CHOEL,-65.61,-39.28638889,196,Choele Choel,PUBLICO,Nacional,RÍO NEGRO
OGB,Aeródromo,CORONEL BOGADO/AEROFUMIGACIONES DON ALEJANDRO,-60.6561,-33.30609,52,Coronel Bogado,PRIVADO,Nacional,SANTA FÉ
OLA,Aeródromo,OLAVARRÍA,-60.22777778,-36.88888889,168,Olavarría,PUBLICO,Nacional,BUENOS AIRES
OLV,Aeródromo,OLIVA,-63.54799,-32.06029,268,Oliva,PUBLICO,Nacional,CÓRDOBA
OMA,Aeródromo,LOMA LA LATA,-68.73715,-38.41383,405,Neuquén,PRIVADO,Nacional,NEUQUÉN
ORA,Aeródromo,ORÁN,-64.3288,-23.15221,357,San Ramón de la Nueva Orán,PUBLICO,Nacional,SALTA
OSA,Aeródromo,SANTA ROSA,-64.27583333,-36.58833333,192,Santa Rosa,PUBLICO,Nacional,LA PAMPA
OVJ,Aeródromo,LAS OVEJAS,-70.74222222,-36.99916667,1200,Las Ovejas,PUBLICO,Nacional,NEUQUÉN
PAL,Aeródromo,EL PALOMAR,-58.6125,-34.61,18,El Palomar,PUBLICO,Nacional,BUENOS AIRES
PAN,Aeródromo,PASCANAS/EL RECUERDO S.R.L.,-63.19298,-33.1055,138,Pascanas,PRIVADO,Nacional,CÓRDOBA
PAR,Aeródromo,PARANÁ/GRAL. URQUIZA,-60.48027778,-31.79472222,74,Paraná,PUBLICO,Nacional,ENTRE RÍOS
PAS,Aeródromo,PASTEUR/LAS LILAS,-62.21764,-35.10957,107,Pasteur,PRIVADO,Nacional,BUENOS AIRES
PAT,Aeródromo,CARMEN DE PATAGONES,-62.98027778,-40.77805556,40,Carmen de Patagones,PUBLICO,Nacional,BUENOS AIRES
PBE,Aeródromo,POBLET,-57.94917,-35.08795,20,Poblet,PUBLICO,Nacional,BUENOS AIRES
PBO,Aeródromo,POSADAS/BONETTI,-55.86498,-27.60678,141,Parada Leis,PRIVADO,Nacional,MISIONES
PCA,Aeródromo,PIQUETE CABADO/SAS AEROAPLICACIONES,-64.18111111,-24.80666667,457,Piquete Cabado,PRIVADO,Nacional,SALTA
PDA,Aeródromo,JUJUY/PUERTA DE AVALOS,-65.24727,-24.31467,1190,San Salvador de Jujuy,PUBLICO,Nacional,JUJUY
PDP,Aeródromo,PRESIDENCIA ROCA/EA. DON PANOS,-59.53539,-26.29586,80,Presidencia Roca,PRIVADO,Nacional,CHACO
PED,Aeródromo,SAN PEDRO,-59.72527778,-33.70333333,27,San Pedro,PUBLICO,Nacional,BUENOS AIRES
PEH,Aeródromo,PEHUAJÓ/COM. PEDRO ZANNI,-61.85748,-35.84451,85,Pehuajó,PUBLICO,Nacional,BUENOS AIRES
PEL,Aeródromo,LA PELADA,-60.88698,-30.96087,44,La Pelada,PRIVADO,Nacional,SANTA FÉ
PEN,Aeródromo,PERGAMINO/LA NORIA,-60.70038,-33.85694,74,Pergamino,PRIVADO,Nacional,BUENOS AIRES
PEP,Aeródromo,RICARDONE/PETTILEP II,-60.79888889,-32.80388889,55,Ricardone,PRIVADO,Nacional,SANTA FÉ
PER,Aeródromo,PERGAMINO,-60.64805556,-33.92027778,72,Pergamino,PUBLICO,Nacional,BUENOS AIRES
PIG,Aeródromo,PIGÜÉ,-62.38194444,-37.60611111,312,Pigüé,PUBLICO,Nacional,BUENOS AIRES
